frame,input.Pitch,input.Yaw,input.Roll,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z
90,-1.000000,-1.000000,-1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.373060,-0.435499,0.608759,0.548251,-1.871010,4.024510,3.248410
91,-1.000000,-1.000000,-1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.384966,-0.415695,0.613378,0.550242,-1.926810,4.011510,3.231810
92,-1.000000,-1.000000,-1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.396468,-0.395572,0.617744,0.552022,-1.980710,3.996610,3.217710
93,-1.000000,-1.000000,-1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.407560,-0.375142,0.621857,0.553586,-2.032610,3.979910,3.205910
94,-1.000000,-1.000000,-1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.418241,-0.354426,0.625712,0.554924,-2.082510,3.961710,3.196510
95,-1.000000,-1.000000,-1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.428513,-0.333440,0.629305,0.556030,-2.130210,3.942110,3.189210
96,-1.000000,-1.000000,-1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.438375,-0.312201,0.632640,0.556888,-2.175710,3.921410,3.184110
97,-1.000000,-1.000000,-1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.447826,-0.290724,0.635710,0.557498,-2.219010,3.899610,3.180910
98,-1.000000,-1.000000,-1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.456868,-0.269026,0.638515,0.557848,-2.260110,3.877010,3.179610
99,-1.000000,-1.000000,-1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.465494,-0.247123,0.641057,0.557935,-2.298910,3.853710,3.180110
100,-1.000000,-1.000000,-1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.473711,-0.225026,0.643331,0.557751,-2.335410,3.829910,3.182210
101,-1.000000,-1.000000,-1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.481517,-0.202756,0.645334,0.557293,-2.369710,3.805710,3.185910
102,-1.000000,-1.000000,-1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.488913,-0.180330,0.647070,0.556548,-2.401710,3.781310,3.191010
103,-1.000000,-1.000000,-1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.495900,-0.157763,0.648532,0.555518,-2.431510,3.756710,3.197410
104,-1.000000,-1.000000,-1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.502481,-0.135073,0.649719,0.554196,-2.459210,3.732210,3.205110
105,-1.000000,-1.000000,-1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.508658,-0.112269,0.650626,0.552583,-2.484710,3.707710,3.213810
106,-1.000000,-1.000000,-1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.514431,-0.089373,0.651259,0.550668,-2.508110,3.683410,3.223510
107,-1.000000,-1.000000,-1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.519799,-0.066397,0.651611,0.548456,-2.529510,3.659410,3.234110
108,-1.000000,-1.000000,-1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,0.524767,-0.043355,0.651685,0.545937,-2.548910,3.635810,3.245510
