frame,input.Pitch,input.Yaw,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z
89,1.000000,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,-0.570478,0.570502,-0.439810,0.394526,4.439710,0.000000,3.246310
90,1.000000,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,-0.570747,0.570774,-0.423431,0.411304,4.439710,0.000000,3.246310
91,1.000000,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,-0.570704,0.570735,-0.406815,0.427855,4.439710,0.000000,3.246310
92,1.000000,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,-0.570348,0.570381,-0.389978,0.444169,4.439710,0.000000,3.246310
93,1.000000,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,-0.569679,0.569712,-0.372925,0.460240,4.439710,0.000000,3.246310
94,1.000000,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,-0.568697,0.568730,-0.355667,0.476058,4.439710,0.000000,3.246310
95,1.000000,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,-0.567403,0.567432,-0.338215,0.491616,4.439710,0.000000,3.246310
96,1.000000,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,-0.565795,0.565823,-0.320573,0.506905,4.439710,0.000000,3.246310
97,1.000000,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,-0.563874,0.563905,-0.302760,0.521913,4.439710,0.000000,3.246310
98,1.000000,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,-0.561646,0.561673,-0.284779,0.536636,4.439710,0.000000,3.246310
99,1.000000,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,-0.559105,0.559137,-0.266641,0.551062,4.439710,0.000000,3.246310
100,1.000000,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,-0.556257,0.556295,-0.248358,0.565184,4.439710,0.000000,3.246310
101,1.000000,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,-0.553106,0.553144,-0.229935,0.578995,4.439710,0.000000,3.246310
102,1.000000,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,-0.549648,0.549686,-0.211388,0.592492,4.439710,0.000000,3.246310
103,1.000000,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,-0.545888,0.545926,-0.192722,0.605664,4.439710,0.000000,3.246310
104,1.000000,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,-0.541831,0.541869,-0.173953,0.618496,4.439710,0.000000,3.246310
105,1.000000,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,-0.537472,0.537515,-0.155087,0.630990,4.439710,0.000000,3.246310
106,1.000000,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,-0.532822,0.532865,-0.136136,0.643135,4.439710,0.000000,3.246310
107,1.000000,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,-0.527875,0.527918,-0.117108,0.654932,4.439710,0.000000,3.246310
108,1.000000,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,-0.522636,0.522685,-0.098016,0.666367,4.439710,0.000000,3.246310
109,1.000000,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,-0.517112,0.517161,-0.078870,0.677436,4.439710,0.000000,3.246310
110,1.000000,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,-0.511302,0.511356,-0.059680,0.688131,4.439710,0.000000,3.246310
111,1.000000,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,-0.505211,0.505265,-0.040458,0.698450,4.439710,0.000000,3.246310
112,1.000000,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,-0.498845,0.498899,-0.021215,0.708380,4.439710,0.000000,3.246310
113,1.000000,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,-0.492204,0.492258,-0.001961,0.717923,4.439710,0.000000,3.246310
114,1.000000,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,-0.485293,0.485347,0.017293,0.727069,4.439710,0.000000,3.246310
115,1.000000,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,-0.478113,0.478167,0.036542,0.735819,4.439710,0.000000,3.246310
