frame,input.bJump,input.bJumped,input.Pitch,input.DodgeForward,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z,ball.Location.X,ball.Location.Y,ball.Location.Z,ball.LinearVelocity.X,ball.LinearVelocity.Y,ball.LinearVelocity.Z,ball.Quaternion.X,ball.Quaternion.Y,ball.Quaternion.Z,ball.Quaternion.W,ball.AngularVelocity.X,ball.AngularVelocity.Y,ball.AngularVelocity.Z
49,True,True,-1.000000,1.000000,0.000000,-23.459999,1002.039978,0.000000,420.920990,0.591000,-0.699813,0.699821,0.101280,0.101269,-5.500010,0.000000,0.000000,0.000000,274.690002,978.019958,0.000000,787.150940,-61.190998,0.390382,0.000003,0.000003,0.920653,2.291710,0.000000,0.000000
50,True,True,-1.000000,1.000000,0.000000,-19.949999,1002.039978,0.000000,420.920990,0.591000,-0.702548,0.702554,0.080143,0.080132,-5.500010,0.000000,0.000000,0.000000,281.250000,977.509949,0.000000,786.950989,-61.170998,0.399154,0.000003,0.000003,0.916884,2.291710,0.000000,0.000000
51,True,True,-1.000000,1.000000,0.000000,-16.440001,1002.039978,0.000000,420.920990,0.591000,-0.704647,0.704648,0.058930,0.058920,-5.499910,0.000000,0.000000,0.000000,287.809998,977.000000,0.000000,786.750977,-61.150997,0.407889,0.000003,0.000003,0.913032,2.291710,0.000000,0.000000
52,True,True,-1.000000,1.000000,0.000000,-12.929999,1002.039978,0.000000,420.920990,0.591000,-0.706103,0.706103,0.037664,0.037653,-5.499910,0.000000,0.000000,0.000000,294.359985,976.489990,0.000000,786.550964,-61.130997,0.416590,0.000003,0.000003,0.909094,2.291710,0.000000,0.000000
53,True,True,-1.000000,1.000000,0.000000,-9.420000,1002.039978,0.000000,420.920990,0.591000,-0.706918,0.706917,0.016365,0.016354,-5.500010,0.000000,0.000000,0.000000,300.910004,975.979980,0.000000,786.350952,-61.110996,0.425255,0.000003,0.000003,0.905074,2.291710,0.000000,0.000000
54,True,True,-1.000000,1.000000,0.000000,-5.910000,1002.039978,0.000000,420.920990,0.591000,0.707088,-0.707090,0.004950,0.004961,-5.500010,0.000000,0.000000,0.000000,307.459991,975.469971,0.000000,786.150940,-61.091000,0.433875,0.000003,0.000003,0.900973,2.291710,0.000000,0.000000
55,True,True,-1.000000,1.000000,0.000000,-2.400000,1002.039978,0.000000,420.920990,0.591000,-0.706616,0.706622,-0.026259,-0.026270,-5.500010,0.000000,0.000000,0.000000,314.009979,974.959961,0.000000,785.950989,-61.070999,0.442459,0.000003,0.000003,0.896789,2.291710,0.000000,0.000000
56,True,True,-1.000000,1.000000,0.000000,1.110000,1002.039978,0.000000,420.920990,0.591000,-0.705505,0.705507,-0.047547,-0.047558,-5.499910,0.000000,0.000000,0.000000,320.559998,974.449951,0.000000,785.750977,-61.050999,0.451004,0.000003,0.000003,0.892522,2.291710,0.000000,0.000000
57,True,True,-1.000000,1.000000,0.000000,4.620000,1002.039978,0.000000,420.920990,0.591000,-0.703751,0.703753,-0.068792,-0.068803,-5.499910,0.000000,0.000000,0.000000,327.109985,973.940002,0.000000,785.550964,-61.030998,0.459506,0.000003,0.000003,0.888174,2.291710,0.000000,0.000000
58,True,True,-1.000000,1.000000,0.000000,8.130000,1002.039978,0.000000,420.920990,0.591000,-0.701356,0.701362,-0.089972,-0.089983,-5.500010,0.000000,0.000000,0.000000,333.649994,973.429993,0.000000,785.350952,-61.010998,0.467965,0.000003,0.000003,0.883747,2.291710,0.000000,0.000000
