frame,input.bJump,input.bJumped,input.Yaw,input.DodgeStrafe,input.Roll,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z
80,False,False,0.000000,-1.000000,0.000000,0.790000,0.000000,197.559998,1.031000,0.000000,82.440994,-0.011165,0.003008,-0.002900,0.999929,-0.221510,-0.000310,-0.063910
81,False,False,0.000000,-1.000000,0.000000,0.800000,0.000000,198.199997,1.031000,0.000000,77.020996,-0.012049,0.003008,-0.003164,0.999918,-0.212610,-0.000310,-0.062910
82,False,False,0.000000,-1.000000,0.000000,0.810000,0.000000,198.800003,1.031000,0.000000,71.600998,-0.012896,0.003008,-0.003423,0.999906,-0.204110,-0.000310,-0.061910
83,False,False,0.000000,-1.000000,0.000000,0.820000,0.000000,199.349991,1.031000,0.000000,66.181000,-0.013711,0.003008,-0.003682,0.999895,-0.195910,-0.000310,-0.060910
84,False,False,0.000000,-1.000000,0.000000,0.830000,0.000000,199.860001,1.031000,0.000000,60.760998,-0.014493,0.003008,-0.003936,0.999883,-0.188010,-0.000310,-0.059910
85,False,False,0.000000,-1.000000,0.000000,0.840000,0.000000,200.319992,1.031000,0.000000,55.341000,-0.015243,0.003008,-0.004184,0.999871,-0.180510,-0.000310,-0.058910
86,False,False,0.000000,-1.000000,0.000000,0.850000,0.000000,200.739990,1.031000,0.000000,49.920998,-0.015966,0.003008,-0.004426,0.999858,-0.173310,-0.000310,-0.057910
87,False,False,0.000000,-1.000000,0.000000,0.860000,0.000000,201.110001,1.031000,0.000000,44.500999,-0.016657,0.003008,-0.004664,0.999846,-0.166310,-0.000310,-0.057010
88,False,False,0.000000,-1.000000,0.000000,0.870000,0.000000,201.440002,1.031000,0.000000,39.080997,-0.017320,0.003008,-0.004901,0.999833,-0.159610,-0.000310,-0.056110
89,False,False,0.000000,-1.000000,0.000000,0.880000,0.000000,201.610001,1.031000,0.000000,19.980999,-0.017957,0.003008,-0.005133,0.999821,-0.153210,-0.000310,-0.055210
90,False,False,0.000000,-1.000000,0.000000,0.890000,0.000000,201.669998,1.031000,0.000000,7.571000,-0.018566,0.003008,-0.005360,0.999809,-0.147010,-0.000310,-0.054310
91,False,False,0.000000,-1.000000,0.000000,0.900000,0.000000,201.669998,1.031000,0.000000,-0.491000,-0.019154,0.003008,-0.005586,0.999796,-0.141110,-0.000310,-0.053410
92,False,False,0.000000,-1.000000,0.000000,0.910000,0.000000,201.619995,1.031000,0.000000,-5.731000,-0.019715,0.003008,-0.005808,0.999784,-0.135410,-0.000310,-0.052510
93,False,False,0.000000,-1.000000,0.000000,0.920000,0.000000,201.539993,1.031000,0.000000,-9.141000,-0.020255,0.003008,-0.006023,0.999772,-0.130010,-0.000310,-0.051610
94,False,False,0.000000,-1.000000,0.000000,0.930000,0.000000,201.449997,1.031000,0.000000,-11.351000,-0.020773,0.003008,-0.006239,0.999760,-0.124810,-0.000310,-0.050810
95,False,False,0.000000,-1.000000,0.000000,0.940000,0.000000,201.339996,1.031000,0.000000,-12.791000,-0.021269,0.003008,-0.006450,0.999748,-0.119810,-0.000310,-0.050010
96,False,False,0.000000,-1.000000,0.000000,0.950000,0.000000,201.229996,1.031000,0.000000,-13.731000,-0.021749,0.003008,-0.006655,0.999737,-0.115010,-0.000310,-0.049210
97,False,False,0.000000,-1.000000,0.000000,0.960000,0.000000,201.110001,1.031000,0.000000,-14.341001,-0.022208,0.003008,-0.006860,0.999725,-0.110410,-0.000310,-0.048410
98,False,False,0.000000,-1.000000,0.000000,0.970000,0.000000,200.989990,1.031000,0.000000,-14.731000,-0.022650,0.003008,-0.007059,0.999714,-0.106010,-0.000310,-0.047610
99,False,False,0.000000,-1.000000,0.000000,0.980000,0.000000,200.869995,1.031000,0.000000,-14.991000,-0.023071,0.003008,-0.007253,0.999703,-0.101710,-0.000310,-0.046810
100,False,False,0.000000,-1.000000,0.000000,0.990000,0.000000,200.739990,1.031000,0.000000,-15.161000,-0.023476,0.003008,-0.007448,0.999692,-0.097610,-0.000310,-0.046010
101,False,False,0.000000,-1.000000,0.000000,1.000000,0.000000,200.610001,1.031000,0.000000,-15.271000,-0.023864,0.003008,-0.007636,0.999682,-0.093710,-0.000310,-0.045210
102,False,False,0.000000,-1.000000,0.000000,1.010000,0.000000,200.479996,1.031000,0.000000,-15.341000,-0.024236,0.003008,-0.007825,0.999671,-0.089910,-0.000310,-0.044510
103,False,False,0.000000,-1.000000,0.000000,1.020000,0.000000,200.349991,1.031000,0.000000,-15.381001,-0.024598,0.003008,-0.008009,0.999661,-0.086310,-0.000310,-0.043810
