frame,input.Throttle,input.bHoldingBoost,input.bActivateBoost,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z
88,1.000000,True,True,-2000.000000,-3975.270020,18.340000,0.000000,1307.190918,-0.251000,-0.006007,0.006007,0.707074,0.707088,-0.000710,0.000000,0.000000
89,1.000000,True,True,-2000.000000,-3964.289795,18.340000,0.000000,1317.580933,-0.251000,-0.006007,0.006007,0.707074,0.707088,-0.000710,0.000000,0.000000
90,1.000000,True,True,-2000.000000,-3953.219971,18.340000,0.000000,1327.880981,-0.251000,-0.006007,0.006007,0.707074,0.707088,-0.000710,0.000000,0.000000
91,1.000000,True,True,-2000.000000,-3942.069824,18.340000,0.000000,1338.090942,-0.251000,-0.006007,0.006007,0.707074,0.707088,-0.000710,0.000000,0.000000
92,1.000000,True,True,-2000.000000,-3930.829834,18.340000,0.000000,1348.210938,-0.251000,-0.006007,0.006007,0.707074,0.707088,-0.000710,0.000000,0.000000
93,1.000000,True,True,-2000.000000,-3919.510010,18.340000,0.000000,1358.250977,-0.251000,-0.006007,0.006007,0.707074,0.707088,-0.000710,0.000000,0.000000
94,1.000000,True,True,-2000.000000,-3908.109863,18.340000,0.000000,1368.200928,-0.251000,-0.006007,0.006007,0.707074,0.707088,-0.000710,0.000000,0.000000
95,1.000000,True,True,-2000.000000,-3896.629883,18.340000,0.000000,1378.070923,-0.251000,-0.006007,0.006007,0.707074,0.707088,-0.000710,0.000000,0.000000
96,1.000000,True,True,-2000.000000,-3885.059814,18.340000,0.000000,1387.850952,-0.251000,-0.006007,0.006007,0.707074,0.707088,-0.000710,0.000000,0.000000
97,1.000000,True,True,-2000.000000,-3873.409912,18.340000,0.000000,1397.550903,-0.251000,-0.006007,0.006007,0.707074,0.707088,-0.000710,0.000000,0.000000
98,1.000000,True,True,-2000.000000,-3861.679932,18.340000,0.000000,1407.160889,-0.251000,-0.006007,0.006007,0.707074,0.707088,-0.000710,0.000000,0.000000
99,1.000000,True,True,-2000.000000,-3849.879883,18.340000,0.000000,1415.820923,-0.251000,-0.006007,0.006007,0.707074,0.707088,-0.000810,0.000000,0.000000
100,1.000000,True,True,-2000.000000,-3838.010010,18.340000,0.000000,1424.080933,-0.251000,-0.006013,0.006013,0.707074,0.707088,-0.000910,0.000000,0.000000
101,1.000000,True,True,-2000.000000,-3826.069824,18.340000,0.000000,1432.340942,-0.251000,-0.006018,0.006018,0.707074,0.707088,-0.000910,0.000000,0.000000
102,1.000000,True,True,-2000.000000,-3814.059814,18.340000,0.000000,1440.600952,-0.251000,-0.006018,0.006023,0.707074,0.707088,-0.000910,0.000000,0.000000
103,1.000000,True,True,-2000.000000,-3801.989990,18.340000,0.000000,1448.860962,-0.251000,-0.006023,0.006023,0.707074,0.707088,-0.000810,0.000000,0.000000
