frame,input.bJump,input.bJumped,input.Pitch,input.Yaw,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z
84,True,True,-1.000000,1.000000,42.009998,41.299999,207.259995,354.589996,353.559998,71.549995,-0.281105,0.252815,0.015680,0.925645,-4.091100,3.668400,0.233200
85,True,True,-1.000000,1.000000,44.959999,44.250000,207.809998,354.589996,353.559998,66.129997,-0.302037,0.271572,0.016856,0.913640,-4.090800,3.668800,0.232900
86,True,True,-1.000000,1.000000,47.910000,47.200001,208.319992,354.589996,353.559998,60.709999,-0.322688,0.290082,0.018016,0.900777,-4.090600,3.669100,0.232600
87,True,True,-1.000000,1.000000,50.860001,50.149998,208.779999,354.589996,353.559998,55.289997,-0.343032,0.308322,0.019160,0.887073,-4.090400,3.669300,0.232400
88,True,True,-1.000000,1.000000,53.809998,53.099998,209.199997,354.589996,353.559998,49.869999,-0.363058,0.326270,0.020282,0.872540,-4.090300,3.669500,0.232200
89,True,True,-1.000000,1.000000,56.759998,56.049999,209.429993,354.589996,353.559998,26.990000,-0.382743,0.343917,0.021388,0.857188,-4.090200,3.669600,0.232100
90,True,True,-1.000000,1.000000,59.709999,59.000000,209.529999,354.589996,353.559998,12.120000,-0.402068,0.361240,0.022472,0.841037,-4.090100,3.669600,0.232000
91,True,True,-1.000000,1.000000,62.660000,61.949997,209.549988,354.589996,353.559998,2.460000,-0.421014,0.378228,0.023535,0.824098,-4.090100,3.669700,0.231900
92,True,True,-1.000000,1.000000,65.610001,64.900002,209.519989,354.589996,353.559998,-3.810000,-0.439567,0.394860,0.024576,0.806388,-4.090100,3.669700,0.231900
93,True,True,-1.000000,1.000000,68.559998,67.849998,209.449997,354.589996,353.559998,-7.890000,-0.457710,0.411125,0.025596,0.787923,-4.090100,3.669700,0.231900
94,True,True,-1.000000,1.000000,71.510002,70.799995,209.360001,354.589996,353.559998,-10.540000,-0.475426,0.427002,0.026588,0.768721,-4.090100,3.669700,0.231900
