frame,input.bJump,input.bJumped,input.Pitch,input.DodgeForward,input.Yaw,input.DodgeStrafe,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z
93,True,True,-1.000000,1.000000,1.000000,1.000000,68.849998,67.849998,199.889999,355.181000,353.591003,-9.141000,-0.457677,0.412399,0.026340,0.787251,-4.089310,3.669710,0.245110
94,True,True,-1.000000,1.000000,1.000000,1.000000,71.809998,70.799995,199.800003,355.181000,353.591003,-11.351000,-0.475389,0.428249,0.027365,0.768023,-4.089310,3.669710,0.245110
95,True,True,-1.000000,1.000000,1.000000,1.000000,74.769997,73.750000,199.690002,355.181000,353.591003,-12.791000,-0.492657,0.443694,0.028363,0.748077,-4.089310,3.669710,0.245110
96,True,True,-1.000000,1.000000,1.000000,1.000000,77.729996,76.699997,199.580002,355.181000,353.591003,-13.731000,-0.509462,0.458724,0.029334,0.727434,-4.089310,3.669710,0.245110
97,True,True,-1.000000,1.000000,1.000000,1.000000,80.689995,79.650002,199.459991,355.181000,353.591003,-14.341001,-0.525792,0.473328,0.030278,0.706107,-4.089310,3.669710,0.245110
98,True,True,-1.000000,1.000000,1.000000,1.000000,83.650002,82.599998,199.339996,355.181000,353.591003,-14.731000,-0.541632,0.487489,0.031195,0.684117,-4.089310,3.669710,0.245110
99,True,True,-1.000000,1.000000,1.000000,1.000000,86.610001,85.549995,199.220001,355.181000,353.591003,-14.991000,-0.556964,0.501192,0.032080,0.661490,-4.089310,3.669710,0.245110
100,True,True,-1.000000,1.000000,1.000000,1.000000,89.570000,88.500000,199.089996,355.181000,353.591003,-15.161000,-0.571772,0.514425,0.032938,0.638246,-4.089310,3.669710,0.245110
101,True,True,-1.000000,1.000000,1.000000,1.000000,92.529999,91.449997,198.959991,355.181000,353.591003,-15.271000,-0.586047,0.527179,0.033764,0.614403,-4.089310,3.669710,0.245110
102,True,True,-1.000000,1.000000,1.000000,1.000000,95.489998,94.400002,198.830002,355.181000,353.591003,-15.341000,0.599772,-0.539441,-0.034556,-0.589985,-4.089310,3.669710,0.245110
103,True,True,-1.000000,1.000000,1.000000,1.000000,98.449997,97.349998,198.699997,355.181000,353.591003,-15.381001,0.612940,-0.551197,-0.035317,-0.565013,-4.089310,3.669710,0.245110
104,True,True,-1.000000,1.000000,1.000000,1.000000,101.409996,100.299995,198.569992,355.181000,353.591003,-15.411000,0.625532,-0.562439,-0.036045,-0.539511,-4.089310,3.669710,0.245110
105,True,True,-1.000000,1.000000,1.000000,1.000000,104.369995,103.250000,198.440002,355.181000,353.591003,-15.431000,0.637538,-0.573153,-0.036741,-0.513508,-4.089310,3.669710,0.245110
106,True,True,-1.000000,1.000000,1.000000,1.000000,107.329994,106.199997,198.309998,355.181000,353.591003,-15.441000,0.648945,-0.583333,-0.037400,-0.487025,-4.089310,3.669710,0.245110
107,True,True,-1.000000,1.000000,1.000000,1.000000,110.290001,109.149994,198.179993,355.181000,353.591003,-15.451000,0.659751,-0.592963,-0.038025,-0.460084,-4.089310,3.669710,0.245110
108,True,True,-1.000000,1.000000,1.000000,1.000000,113.250000,112.099998,198.050003,355.181000,353.591003,-15.451000,0.669937,-0.602043,-0.038613,-0.432710,-4.089310,3.669710,0.245110
109,True,True,-1.000000,1.000000,1.000000,1.000000,116.209999,115.049995,197.919998,355.181000,353.591003,-15.451000,0.679498,-0.610556,-0.039164,-0.404932,-4.089310,3.669710,0.245110
110,True,True,-1.000000,1.000000,1.000000,1.000000,119.169998,118.000000,197.789993,355.181000,353.591003,-15.451000,0.688423,-0.618497,-0.039682,-0.376777,-4.089310,3.669710,0.245110
111,True,True,-1.000000,1.000000,1.000000,1.000000,122.129997,120.949997,197.659988,355.181000,353.591003,-15.451000,0.696701,-0.625861,-0.040162,-0.348271,-4.089310,3.669710,0.245110
112,True,True,-1.000000,1.000000,1.000000,1.000000,125.089996,123.899994,197.529999,355.181000,353.591003,-15.451000,0.704332,-0.632637,-0.040604,-0.319435,-4.089310,3.669710,0.245110
113,True,True,-1.000000,1.000000,1.000000,1.000000,128.050003,126.849998,197.399994,355.181000,353.591003,-15.451000,0.711298,-0.638825,-0.041009,-0.290303,-4.089310,3.669710,0.245110
114,True,True,-1.000000,1.000000,1.000000,1.000000,131.009995,129.800003,197.269989,355.181000,353.591003,-15.451000,0.717600,-0.644414,-0.041376,-0.260901,-4.089310,3.669710,0.245110
115,True,True,-1.000000,1.000000,1.000000,1.000000,133.970001,132.750000,197.139999,355.181000,353.591003,-15.451000,0.723233,-0.649398,-0.041699,-0.231252,-4.089310,3.669710,0.245110
116,True,True,-1.000000,1.000000,1.000000,1.000000,136.929993,135.699997,197.009995,355.181000,353.591003,-15.451000,0.728185,-0.653779,-0.041985,-0.201386,-4.089310,3.669710,0.245110
117,True,True,-1.000000,1.000000,1.000000,1.000000,139.889999,138.649994,196.879990,355.181000,353.591003,-15.451000,0.732460,-0.657545,-0.042233,-0.171331,-4.089310,3.669710,0.245110
118,True,True,-1.000000,1.000000,1.000000,1.000000,142.849991,141.599991,196.750000,355.181000,353.591003,-15.451000,0.736047,-0.660695,-0.042444,-0.141120,-4.089310,3.669710,0.245110
119,True,True,-1.000000,1.000000,1.000000,1.000000,145.809998,144.550003,196.619995,355.181000,353.591003,-15.451000,0.738949,-0.663225,-0.042611,-0.110774,-4.089310,3.669710,0.245110
120,True,True,-1.000000,1.000000,1.000000,1.000000,148.770004,147.500000,196.489990,355.181000,353.591003,-15.451000,0.741159,-0.665135,-0.042740,-0.080326,-4.089310,3.669710,0.245110
121,True,True,-1.000000,1.000000,1.000000,1.000000,151.729996,150.449997,196.360001,355.181000,353.591003,-15.451000,0.742673,-0.666424,-0.042832,-0.049802,-4.089310,3.669710,0.245110
122,True,True,-1.000000,1.000000,1.000000,1.000000,154.690002,153.399994,196.229996,355.181000,353.591003,-15.451000,0.743490,-0.667093,-0.042881,-0.019230,-4.089310,3.669710,0.245110
123,True,True,-1.000000,1.000000,1.000000,1.000000,157.649994,156.349991,196.099991,355.181000,353.591003,-15.451000,0.743613,-0.667137,-0.042891,0.011359,-4.089310,3.669710,0.245110
124,True,True,-1.000000,1.000000,1.000000,1.000000,160.610001,159.300003,195.970001,355.181000,353.591003,-15.451000,0.743041,-0.666554,-0.042859,0.041937,-4.089310,3.669710,0.245110
125,True,True,-1.000000,1.000000,1.000000,1.000000,163.569992,162.250000,195.839996,355.181000,353.591003,-15.451000,0.741776,-0.665345,-0.042789,0.072477,-4.089310,3.669710,0.245110
126,True,True,-1.000000,1.000000,1.000000,1.000000,166.529999,165.199997,195.709991,355.181000,353.591003,-15.451000,0.739815,-0.663517,-0.042676,0.102947,-4.089310,3.669710,0.245110
127,True,True,-1.000000,1.000000,1.000000,1.000000,169.489990,168.149994,195.580002,355.181000,353.591003,-15.451000,0.737162,-0.661067,-0.042525,0.133319,-4.089310,3.669710,0.245110
128,True,True,-1.000000,1.000000,1.000000,1.000000,172.449997,171.099991,195.449997,355.181000,353.591003,-15.451000,0.733820,-0.657998,-0.042336,0.163568,-4.089310,3.669710,0.245110
129,True,True,-1.000000,1.000000,1.000000,1.000000,175.410004,174.050003,195.319992,355.181000,353.591003,-15.451000,0.729791,-0.654313,-0.042104,0.193666,-4.089310,3.669710,0.245110
130,True,True,-1.000000,1.000000,1.000000,1.000000,178.369995,177.000000,195.190002,355.181000,353.591003,-15.451000,0.725078,-0.650019,-0.041834,0.223580,-4.089310,3.669710,0.245110
131,True,True,-1.000000,1.000000,1.000000,1.000000,181.330002,179.949997,195.059998,355.181000,353.591003,-15.451000,0.719685,-0.645115,-0.041527,0.253289,-4.089310,3.669710,0.245110
132,True,True,-1.000000,1.000000,1.000000,1.000000,184.289993,182.899994,194.929993,355.181000,353.591003,-15.451000,0.713620,-0.639607,-0.041176,0.282761,-4.089310,3.669710,0.245110
133,True,True,-1.000000,1.000000,1.000000,1.000000,187.250000,185.849991,194.800003,355.181000,353.591003,-15.451000,0.706887,-0.633500,-0.040788,0.311969,-4.089310,3.669710,0.245110
134,True,True,-1.000000,1.000000,1.000000,1.000000,190.209991,188.800003,194.669998,355.181000,353.591003,-15.451000,0.699496,-0.626800,-0.040361,0.340880,-4.089310,3.669710,0.245110
135,True,True,-1.000000,1.000000,1.000000,1.000000,193.169998,191.750000,194.539993,355.181000,353.591003,-15.451000,0.691446,-0.619516,-0.039897,0.369472,-4.089310,3.669710,0.245110
136,True,True,-1.000000,1.000000,1.000000,1.000000,196.129990,194.699997,194.409988,355.181000,353.591003,-15.451000,0.682752,-0.611651,-0.039396,0.397719,-4.089310,3.669710,0.245010
137,True,True,-1.000000,1.000000,1.000000,1.000000,199.089996,197.649994,194.279999,355.181000,353.591003,-15.451000,0.673419,-0.603213,-0.038862,0.425594,-4.089310,3.669710,0.245010
138,True,True,-1.000000,1.000000,1.000000,1.000000,202.050003,200.599991,194.149994,355.181000,353.591003,-15.451000,0.663458,-0.594209,-0.038290,0.453070,-4.089310,3.669710,0.245010
