frame,input.bActivateBoost,input.bHoldingBoost,input.Throttle,input.Steer,input.bJump,input.bJumped,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z
74,False,False,1.000000,0.000000,False,False,3728.819824,0.000000,18.639999,711.089966,0.000000,8.440000,0.000003,0.002970,0.000003,0.999996,0.000000,0.000000,0.000000
75,False,False,1.000000,0.000000,False,False,3734.750000,0.000000,18.639999,718.320007,0.000000,8.440000,0.000003,0.002970,0.000003,0.999996,0.000000,0.000000,0.000000
76,False,False,1.000000,0.000000,False,False,3740.739990,0.000000,18.639999,725.489990,0.000000,8.440000,0.000003,0.002970,0.000003,0.999996,0.000000,0.000000,0.000000
77,False,False,1.000000,0.000000,False,False,3746.789795,0.000000,18.639999,732.599976,0.000000,8.440000,0.000003,0.002970,0.000003,0.999996,0.000000,0.000000,0.000000
78,False,False,1.000000,0.000000,False,False,3752.889893,0.000000,18.639999,739.649963,0.000000,8.440000,0.000003,0.002970,0.000003,0.999996,0.000000,0.000000,0.000000
79,False,False,1.000000,0.000000,False,False,3759.049805,0.000000,18.639999,746.639954,0.000000,8.440000,0.000003,0.002970,0.000003,0.999996,0.000000,0.000000,0.000000
80,False,False,1.000000,0.000000,False,False,3765.270020,0.000000,18.639999,753.570007,0.000000,8.440000,0.000003,0.002970,0.000003,0.999996,0.000000,0.000000,0.000000
81,False,False,1.000000,0.000000,False,False,3771.549805,0.000000,18.639999,760.440002,0.000000,8.440000,0.000003,0.002970,0.000003,0.999996,0.000000,0.000000,0.000000
82,False,False,1.000000,0.000000,False,False,3777.889893,0.000000,18.639999,767.250000,0.000000,8.440000,0.000003,0.002970,0.000003,0.999996,0.000000,0.000000,0.000000
83,False,False,1.000000,0.000000,False,False,3784.280029,0.000000,18.639999,774.000000,0.000000,8.440000,0.000003,0.002970,0.000003,0.999996,0.000000,0.000000,0.000000
84,False,False,1.000000,0.000000,False,False,3790.729980,0.000000,18.639999,779.639954,0.000000,15.620000,0.000003,0.002970,0.000003,0.999996,0.000000,-0.222700,0.000000
85,False,False,1.000000,0.000000,False,False,3797.229980,0.000000,18.699999,784.579956,0.000000,30.769999,0.000003,0.002042,0.000003,0.999998,0.000000,-0.691200,0.000000
86,False,False,1.000000,0.000000,False,False,3803.770020,0.000000,18.889999,790.260010,0.000000,38.419998,0.000003,-0.000839,0.000003,1.000000,0.000000,-0.912000,0.000000
87,False,False,1.000000,0.000000,False,False,3810.359863,0.000000,19.139999,796.279968,0.000000,42.239998,0.000003,-0.004637,0.000003,0.999989,0.000000,-1.010200,0.000000
88,False,False,1.000000,0.000000,False,False,3817.000000,0.000000,19.420000,802.450012,0.000000,43.989998,0.000003,-0.008845,0.000003,0.999961,0.000000,-1.045100,0.000000
89,False,False,1.000000,0.000000,False,False,3823.689941,0.000000,19.719999,808.619995,0.000000,45.129997,0.000003,-0.013198,0.000003,0.999913,0.000000,-1.064400,0.000000
90,False,False,1.000000,0.000000,False,False,3830.429932,0.000000,20.029999,814.769958,0.000000,45.849998,0.000003,-0.017633,0.000003,0.999844,0.000000,-1.075400,0.000000
91,False,False,1.000000,0.000000,False,False,3837.219971,0.000000,20.340000,820.889954,0.000000,46.209999,0.000003,-0.022111,0.000003,0.999756,0.000000,-1.082100,0.000000
92,False,False,1.000000,0.000000,False,False,3844.059814,0.000000,20.660000,813.729980,0.000000,87.019997,0.000003,-0.026621,0.000003,0.999646,0.000000,-2.319400,0.000000
93,False,False,1.000000,0.000000,False,False,3850.839844,0.000000,21.320000,813.299988,0.000000,107.339996,0.000003,-0.036277,0.000003,0.999342,0.000000,-2.936000,0.000000
94,False,False,1.000000,0.000000,False,False,3857.619873,0.000000,22.150000,816.229980,0.000000,116.599998,0.000003,-0.048502,0.000003,0.998823,0.000000,-3.227400,0.000000
95,False,False,1.000000,0.000000,False,False,3864.429932,0.000000,23.049999,821.019958,0.000000,119.439995,0.000003,-0.061930,0.000003,0.998080,0.000000,-3.337800,0.000000
96,False,False,1.000000,0.000000,False,False,3871.280029,0.000000,23.980000,826.419983,0.000000,119.869995,0.000003,-0.075805,0.000003,0.997123,0.000000,-3.390400,0.000000
97,False,False,1.000000,0.000000,False,False,3878.169922,0.000000,24.910000,828.389954,0.000000,151.539993,0.000003,-0.089886,0.000003,0.995952,0.000000,-2.696500,0.000000
98,False,False,1.000000,0.000000,False,False,3885.079834,0.000000,26.099998,832.199951,0.000000,165.789993,0.000003,-0.101069,0.000003,0.994879,0.000000,-2.397100,0.000000
99,False,False,1.000000,0.000000,False,False,3892.020020,0.000000,27.410000,814.489990,0.000000,211.929993,0.000003,-0.111001,0.000003,0.993820,0.000000,-3.583900,0.000000
100,False,False,1.000000,0.000000,False,False,3898.809814,0.000000,29.109999,808.979980,0.000000,232.839996,0.000003,-0.125831,0.000003,0.992052,0.000000,-4.192200,0.000000
101,False,False,1.000000,0.000000,False,False,3905.559814,0.000000,30.980000,809.639954,0.000000,241.409988,0.000003,-0.143138,0.000003,0.989703,0.000000,-4.463000,0.000000
102,False,False,1.000000,0.000000,False,False,3912.309814,0.000000,32.919998,813.820007,0.000000,242.619995,0.000003,-0.161518,0.000003,0.986870,0.000000,-4.544200,0.000000
103,False,False,1.000000,0.000000,False,False,3919.099854,0.000000,34.869999,799.389954,0.000000,302.089996,0.000003,-0.180173,0.000003,0.983635,0.000000,-3.166300,0.000000
104,False,False,1.000000,0.000000,False,False,3925.770020,0.000000,37.320000,795.190002,0.000000,329.320007,0.000003,-0.193132,0.000003,0.981173,0.000000,-2.569300,0.000000
105,False,False,1.000000,0.000000,False,False,3932.409912,0.000000,40.000000,767.260010,0.000000,375.069977,0.000003,-0.203625,0.000003,0.979049,0.000000,-3.571200,0.000000
106,False,False,1.000000,0.000000,False,False,3938.819824,0.000000,43.059998,756.669983,0.000000,395.779999,0.000003,-0.218169,0.000003,0.975911,0.000000,-4.098000,0.000000
107,False,False,1.000000,0.000000,False,False,3945.139893,0.000000,46.289997,754.829956,0.000000,403.910004,0.000003,-0.234801,0.000003,0.972043,0.000000,-4.347500,0.000000
108,False,False,1.000000,0.000000,False,False,3951.439941,0.000000,49.590000,757.700012,0.000000,405.619995,0.000003,-0.252372,0.000003,0.967630,0.000000,-4.419800,0.000000
109,False,False,1.000000,0.000000,False,False,3957.770020,0.000000,52.899998,761.719971,0.000000,405.339996,0.000003,-0.270148,0.000003,0.962819,0.000000,-4.471800,0.000000
110,False,False,1.000000,0.000000,False,False,3964.129883,0.000000,56.209999,734.059998,0.000000,462.529999,0.000003,-0.288037,0.000003,0.957619,0.000000,-3.007900,0.000000
111,False,False,1.000000,0.000000,False,False,3970.260010,0.000000,59.989998,723.619995,0.000000,488.379974,0.000003,-0.300014,0.000003,0.953935,0.000000,-2.375700,0.000000
112,False,False,1.000000,0.000000,False,False,3976.309814,0.000000,63.989998,684.959961,0.000000,528.830017,0.000003,-0.309444,0.000003,0.950918,0.000000,-3.469500,0.000000
113,False,False,1.000000,0.000000,False,False,3982.039795,0.000000,68.330002,669.880005,0.000000,546.029968,0.000003,-0.323158,0.000003,0.946345,0.000000,-4.050700,0.000000
114,False,False,1.000000,0.000000,False,False,3987.639893,0.000000,72.809998,666.260010,0.000000,552.580017,0.000003,-0.339083,0.000003,0.940756,0.000000,-4.295700,0.000000
115,False,False,1.000000,0.000000,False,False,3993.209961,0.000000,77.339996,668.309998,0.000000,553.849976,0.000003,-0.355866,0.000003,0.934537,0.000000,-4.369900,0.000000
116,False,False,1.000000,0.000000,False,False,3998.799805,0.000000,81.879997,631.059998,0.000000,602.039978,0.000003,-0.372822,0.000003,0.927903,0.000000,-2.991600,0.000000
117,False,False,1.000000,0.000000,False,False,4004.079834,0.000000,86.830002,616.029968,0.000000,623.789978,0.000003,-0.384362,0.000003,0.923182,0.000000,-2.403300,0.000000
118,False,False,1.000000,0.000000,False,False,4009.239990,0.000000,91.959999,570.450012,0.000000,654.739990,0.000003,-0.393587,0.000003,0.919287,0.000000,-3.503100,0.000000
119,False,False,1.000000,0.000000,False,False,4014.020020,0.000000,97.349998,552.349976,0.000000,667.669983,0.000003,-0.406961,0.000003,0.913446,0.000000,-4.085900,0.000000
120,False,False,1.000000,0.000000,False,False,4018.649902,0.000000,102.839996,547.440002,0.000000,672.599976,0.000003,-0.422455,0.000003,0.906384,0.000000,-4.318900,0.000000
121,False,False,1.000000,0.000000,False,False,4023.239990,0.000000,108.379997,548.830017,0.000000,673.599976,0.000003,-0.438698,0.000003,0.898634,0.000000,-4.389500,0.000000
122,False,False,1.000000,0.000000,False,False,4027.839844,0.000000,113.919998,505.009979,0.000000,711.359985,0.000003,-0.455061,0.000003,0.890460,0.000000,-3.065500,0.000000
123,False,False,1.000000,0.000000,False,False,4032.079834,0.000000,119.779999,486.839996,0.000000,728.469971,0.000003,-0.466395,0.000003,0.884576,0.000000,-2.495100,0.000000
124,False,False,1.000000,0.000000,False,False,4036.169922,0.000000,125.779999,436.609985,0.000000,749.049988,0.000003,-0.475567,0.000003,0.879680,0.000000,-3.565100,0.000000
125,False,False,1.000000,0.000000,False,False,4039.849854,0.000000,131.949997,416.019989,0.000000,757.839966,0.000003,-0.488579,0.000003,0.872520,0.000000,-4.130800,0.000000
126,False,False,1.000000,0.000000,False,False,4043.359863,0.000000,138.199997,409.559998,0.000000,761.399963,0.000003,-0.503523,0.000003,0.863982,0.000000,-4.369400,0.000000
127,False,False,1.000000,0.000000,False,False,4046.809814,0.000000,144.479996,410.259979,0.000000,762.279968,0.000003,-0.519167,0.000003,0.854672,0.000000,-4.438600,0.000000
128,False,False,1.000000,0.000000,False,False,4050.270020,0.000000,150.769989,413.069977,0.000000,762.130005,0.000003,-0.534883,0.000003,0.844926,0.000000,-4.484900,0.000000
129,False,False,1.000000,0.000000,False,False,4053.750000,0.000000,157.050003,358.289978,0.000000,792.880005,0.000003,-0.550576,0.000003,0.834785,0.000000,-3.022900,0.000000
130,False,False,1.000000,0.000000,False,False,4056.780029,0.000000,163.589996,335.279999,0.000000,806.829956,0.000003,-0.561047,0.000003,0.827784,0.000000,-2.390700,0.000000
131,False,False,1.000000,0.000000,False,False,4059.619873,0.000000,170.250000,278.699982,0.000000,817.179993,0.000003,-0.569264,0.000003,0.822155,0.000000,-3.547100,0.000000
132,False,False,1.000000,0.000000,False,False,4061.989990,0.000000,177.000000,255.889999,0.000000,821.339966,0.000003,-0.581353,0.000003,0.813651,0.000000,-4.158900,0.000000
133,False,False,1.000000,0.000000,False,False,4064.169922,0.000000,183.779999,248.860001,0.000000,823.119995,0.000003,-0.595364,0.000003,0.803456,0.000000,-4.406900,0.000000
134,False,False,1.000000,0.000000,False,False,4066.299805,0.000000,190.580002,249.589996,0.000000,823.630005,0.000003,-0.610016,0.000003,0.792389,0.000000,-4.481800,0.000000
135,False,False,1.000000,0.000000,False,False,4068.429932,0.000000,197.379990,190.259995,0.000000,842.409973,0.000003,-0.624706,0.000003,0.780860,0.000000,-3.068700,0.000000
136,False,False,1.000000,0.000000,False,False,4070.069824,0.000000,204.339996,165.179993,0.000000,851.169983,0.000003,-0.634638,0.000003,0.772809,0.000000,-2.465100,0.000000
137,False,False,1.000000,0.000000,False,False,4071.500000,0.000000,211.379990,134.339996,0.000000,854.690002,0.000003,-0.642542,0.000003,0.766251,0.000000,-2.890900,0.000000
138,False,False,1.000000,0.000000,False,False,4072.679932,0.000000,218.449997,123.680000,0.000000,856.079956,0.000003,-0.651724,0.000003,0.758457,0.000000,-3.138900,0.000000
139,False,False,1.000000,0.000000,False,False,4073.770020,0.000000,225.529999,121.709999,0.000000,856.959961,0.000003,-0.661585,0.000003,0.749870,0.000000,-3.209900,0.000000
140,False,False,1.000000,0.000000,False,False,4074.839844,0.000000,232.619995,122.309998,0.000000,857.559998,0.000003,-0.671555,0.000003,0.740955,0.000000,-3.251800,0.000000
141,False,False,1.000000,0.000000,False,False,4075.919922,0.000000,239.709991,124.439995,0.000000,857.959961,0.000003,-0.681530,0.000003,0.731790,0.000000,-3.282900,0.000000
142,False,False,1.000000,0.000000,False,False,4077.020020,0.000000,246.809998,59.430000,0.000000,864.539978,0.000003,-0.691478,0.000003,0.722397,0.000000,-1.748000,0.000000
