frame,input.Yaw,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z
139,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,-0.000003,-0.000003,-0.015114,0.999886,0.000000,0.000000,5.500010
140,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,-0.000003,-0.000003,0.008116,0.999967,0.000000,0.000000,5.500010
141,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,-0.000003,-0.000003,0.031347,0.999509,0.000000,0.000000,5.500010
142,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,-0.000003,-0.000003,0.054555,0.998511,0.000000,0.000000,5.500010
143,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,-0.000003,-0.000003,0.077737,0.996974,0.000000,0.000000,5.500010
144,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,-0.000003,-0.000003,0.100875,0.994899,0.000000,0.000000,5.500010
145,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,-0.000003,-0.000003,0.123959,0.992287,0.000000,0.000000,5.500010
146,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,-0.000003,-0.000003,0.146979,0.989140,0.000000,0.000000,5.500010
147,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,-0.000003,-0.000003,0.169918,0.985458,0.000000,0.000000,5.500010
148,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,-0.000003,-0.000003,0.192765,0.981245,0.000000,0.000000,5.500010
149,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,-0.000003,-0.000003,0.215509,0.976502,0.000000,0.000000,5.500010
150,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,-0.000003,-0.000003,0.238135,0.971232,0.000000,0.000000,5.500010
151,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,-0.000003,-0.000003,0.260632,0.965438,0.000000,0.000000,5.500010
152,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,-0.000003,-0.000003,0.282988,0.959123,0.000000,0.000000,5.500010
153,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,-0.000003,-0.000003,0.305193,0.952290,0.000000,0.000000,5.500010
154,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,-0.000003,-0.000003,0.327231,0.944944,0.000000,0.000000,5.500010
155,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,-0.000003,-0.000003,0.349096,0.937087,0.000000,0.000000,5.500010
156,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,-0.000003,-0.000003,0.370772,0.928724,0.000000,0.000000,5.500010
157,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,-0.000003,-0.000003,0.392249,0.919859,0.000000,0.000000,5.500010
158,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,-0.000003,-0.000003,0.413510,0.910500,0.000000,0.000000,5.500010
159,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,-0.000003,-0.000003,0.434550,0.900648,0.000000,0.000000,5.500010
160,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,-0.000003,-0.000003,0.455358,0.890309,0.000000,0.000000,5.500010
161,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,-0.000003,-0.000003,0.475917,0.879490,0.000000,0.000000,5.500010
162,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,-0.000003,-0.000003,0.496218,0.868198,0.000000,0.000000,5.500010
163,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,-0.000003,-0.000003,0.516254,0.856435,0.000000,0.000000,5.500010
164,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,-0.000003,-0.000003,0.536010,0.844211,0.000000,0.000000,5.500010
165,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,-0.000003,-0.000003,0.555475,0.831533,0.000000,0.000000,5.500010
166,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,-0.000003,-0.000003,0.574642,0.818405,0.000000,0.000000,5.500010
167,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,-0.000003,-0.000003,0.593497,0.804836,0.000000,0.000000,5.500010
168,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,-0.000003,-0.000003,0.612034,0.790831,0.000000,0.000000,5.500010
169,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,-0.000003,-0.000003,0.630241,0.776399,0.000000,0.000000,5.500010
170,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,-0.000003,-0.000003,0.648109,0.761548,0.000000,0.000000,5.500010
171,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,-0.000003,-0.000003,0.665626,0.746285,0.000000,0.000000,5.500010
172,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,-0.000003,-0.000003,0.682781,0.730623,0.000000,0.000000,5.500010
173,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,-0.000003,-0.000003,0.699570,0.714564,0.000000,0.000000,5.500010
174,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,-0.000003,-0.000003,0.715982,0.698119,0.000000,0.000000,5.500010
175,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,-0.000003,-0.000003,0.732006,0.681298,0.000000,0.000000,5.500010
176,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,-0.000003,-0.000003,0.747635,0.664110,0.000000,0.000000,5.500010
177,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,-0.000003,-0.000003,0.762862,0.646561,0.000000,0.000000,5.500010
178,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,-0.000003,-0.000003,0.777675,0.628666,0.000000,0.000000,5.500010
179,1.000000,0.000000,0.000000,500.000000,0.000000,0.000000,0.000000,-0.000003,-0.000003,0.792069,0.610432,0.000000,0.000000,5.500010
