frame,input.bHandbrake,input.bActivateBoost,input.bHoldingBoost,input.Steer,input.Throttle,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z
80,False,True,True,0.000000,1.000000,-2000.000000,-4029.250000,18.779999,0.000000,1253.920898,0.451000,0.001691,-0.001691,0.707101,0.707108,0.000000,0.000000,0.000000
81,False,True,True,0.000000,1.000000,-2000.000000,-4018.709961,18.779999,0.000000,1264.770996,0.451000,0.001691,-0.001691,0.707101,0.707108,0.000000,0.000000,0.000000
82,False,True,True,0.000000,1.000000,-2000.000000,-4008.079834,18.779999,0.000000,1275.520996,0.451000,0.001691,-0.001691,0.707101,0.707108,0.000000,0.000000,0.000000
83,False,True,True,0.000000,1.000000,-2000.000000,-3997.359863,18.779999,0.000000,1286.180908,0.451000,0.001691,-0.001691,0.707101,0.707108,0.000000,0.000000,0.000000
84,False,True,True,0.000000,1.000000,-2000.000000,-3986.549805,18.779999,0.000000,1296.750977,0.451000,0.001691,-0.001691,0.707101,0.707108,0.000000,0.000000,0.000000
85,False,True,True,0.000000,1.000000,-2000.000000,-3975.659912,18.779999,0.000000,1307.230957,0.451000,0.001691,-0.001691,0.707101,0.707108,0.000000,0.000000,0.000000
86,False,True,True,0.000000,1.000000,-2000.000000,-3964.679932,18.779999,0.000000,1317.620972,0.451000,0.001691,-0.001691,0.707101,0.707108,0.000000,0.000000,0.000000
87,False,True,True,0.000000,1.000000,-2000.000000,-3953.609863,18.779999,0.000000,1327.920898,0.451000,0.001691,-0.001691,0.707101,0.707108,0.000000,0.000000,0.000000
88,False,True,True,0.000000,1.000000,-2000.000000,-3942.459961,18.779999,0.000000,1338.130981,0.451000,0.001691,-0.001691,0.707101,0.707108,0.000000,0.000000,0.000000
89,False,True,True,0.000000,1.000000,-2000.000000,-3931.219971,18.779999,0.000000,1348.250977,0.451000,0.001691,-0.001691,0.707101,0.707108,0.000000,0.000000,0.000000
