frame,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z,ball.Location.X,ball.Location.Y,ball.Location.Z,ball.LinearVelocity.X,ball.LinearVelocity.Y,ball.LinearVelocity.Z,ball.Quaternion.X,ball.Quaternion.Y,ball.Quaternion.Z,ball.Quaternion.W,ball.AngularVelocity.X,ball.AngularVelocity.Y,ball.AngularVelocity.Z
59,0.000000,517.250000,1000.419983,0.000000,1971.450928,0.921000,0.012395,-0.012384,0.706939,0.707057,0.059810,0.000000,0.000000,0.000000,1098.239990,998.130005,0.000000,3203.430908,-5.161000,-0.034449,0.000003,0.000003,0.999406,-0.201410,0.000000,0.000000
60,0.000000,533.679993,1000.429993,0.000000,1971.450928,0.921000,0.012567,-0.012556,0.706934,0.707056,0.058310,0.000000,0.000000,0.000000,1124.929932,998.089966,0.000000,3202.610840,-5.151000,-0.035285,0.000003,0.000003,0.999377,-0.201410,0.000000,0.000000
61,0.000000,550.109985,1000.440002,0.000000,1971.450928,0.921000,0.012735,-0.012724,0.706929,0.707056,0.056910,0.000000,0.000000,0.000000,1151.609985,998.049988,0.000000,3201.791016,-5.141000,-0.036121,0.000003,0.000003,0.999347,-0.201410,0.000000,0.000000
62,0.000000,566.539978,1000.449951,0.000000,1971.450928,0.921000,0.012896,-0.012886,0.706923,0.707055,0.055510,0.000000,0.000000,0.000000,1178.280029,998.009949,0.000000,3200.970947,-5.131000,-0.036957,0.000003,0.000003,0.999317,-0.201410,0.000000,0.000000
63,0.000000,582.969971,1000.459961,0.000000,1971.450928,0.921000,0.013058,-0.013047,0.706918,0.707055,0.054110,0.000000,0.000000,0.000000,1204.949951,997.969971,0.000000,3200.150879,-5.121000,-0.037793,0.000003,0.000003,0.999286,-0.201410,0.000000,0.000000
64,0.000000,599.399963,1000.469971,0.000000,1971.450928,0.921000,0.013215,-0.013204,0.706913,0.707054,0.052810,0.000000,0.000000,0.000000,1231.609985,997.929993,0.000000,3199.330811,-5.111000,-0.038630,0.000003,0.000003,0.999254,-0.201410,0.000000,0.000000
65,0.000000,615.829956,1000.479980,0.000000,1971.450928,0.921000,0.013366,-0.013355,0.706907,0.707054,0.051510,0.000000,0.000000,0.000000,1258.260010,997.889954,0.000000,3198.510986,-5.101000,-0.039466,0.000003,0.000003,0.999221,-0.201410,0.000000,0.000000
66,0.000000,632.260010,1000.489990,0.000000,1971.450928,0.921000,0.013511,-0.013501,0.706902,0.707054,0.050210,0.000000,0.000000,0.000000,1284.909912,997.849976,0.000000,3197.690918,-5.091000,-0.040302,0.000003,0.000003,0.999188,-0.201410,0.000000,0.000000
67,0.000000,648.690002,1000.500000,0.000000,1971.450928,0.921000,0.013657,-0.013646,0.706896,0.707054,0.049010,0.000000,0.000000,0.000000,1311.549927,997.809998,0.000000,3196.870850,-5.081000,-0.041138,0.000003,0.000003,0.999153,-0.201410,0.000000,0.000000
68,0.000000,665.119995,1000.509949,0.000000,1971.450928,0.921000,0.013797,-0.013786,0.706891,0.707053,0.047810,0.000000,0.000000,0.000000,1338.179932,997.769958,0.000000,3196.051025,-5.071000,-0.041974,0.000003,0.000003,0.999119,-0.201410,0.000000,0.000000
